_id,title,title_untranslated,description,release_date,language,post_image_url,backdrop_image_url,average_rating,tagline,minutes,budget,revenue,genre
19404,Dilwale Dulhania Le Jayenge,दिलवाले दुल्हनिया ले जायेंगे,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.",1995-10-20,hi,https://www.themoviedb.org/t/p/w300/2CAL2433ZeIihfX1Hb2139CX0pW.jpg,https://www.themoviedb.org/t/p/w300/gNBCvtYyGPbjPCT1k3MvJuNuXR6.jpg,8.8,"Come Fall In love, All Over Again..",190,13200000,100000000,Comedy
278,The Shawshank Redemption,The Shawshank Redemption,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",1994-09-23,en,https://www.themoviedb.org/t/p/w300/q6y0Go1tsGEsmtFryDOJo3dEmqu.jpg,https://www.themoviedb.org/t/p/w300/9Xw0I5RV2ZqNLpul6lXKoviYg55.jpg,8.7,Fear can hold you prisoner. Hope can set you free.,142,25000000,28341469,Crime
238,The Godfather,The Godfather,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",1972-03-14,en,https://www.themoviedb.org/t/p/w300/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,https://www.themoviedb.org/t/p/w300/rSPw7tgCH9c6NqICZef4kZjFOQ5.jpg,8.7,An offer you can't refuse.,175,6000000,245066411,Crime
424,Schindler's List,Schindler's List,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,1993-11-30,en,https://www.themoviedb.org/t/p/w300/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg,https://www.themoviedb.org/t/p/w300/loRmRzQXZeqG78TqZuyvSlEQfZb.jpg,8.6,"Whoever saves one life, saves the world entire.",195,22000000,321365567,Drama
240,The Godfather: Part II,The Godfather: Part II,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",1974-12-20,en,https://www.themoviedb.org/t/p/w300/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg,https://www.themoviedb.org/t/p/w300/poec6RqOKY9iSiIUmfyfPfiLtvB.jpg,8.6,"I don't feel I have to wipe everybody out, Tom. Just my enemies.",202,13000000,102600000,Crime
155,The Dark Knight,The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",2008-07-16,en,https://www.themoviedb.org/t/p/w300/qJ2tW6WMUDux911r6m7haRef0WH.jpg,https://www.themoviedb.org/t/p/w300/nMKdUUepR0i5zn0y1T4CsSB5chy.jpg,8.5,Why So Serious?,152,185000000,1004558444,Action
13,Forrest Gump,Forrest Gump,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",1994-07-06,en,https://www.themoviedb.org/t/p/w300/h5J4W4veyxMXDMjeNxZI46TsHOb.jpg,https://www.themoviedb.org/t/p/w300/tlEFuIlaxRPXIYVHXbOSAMCfWqk.jpg,8.5,Life is like a box of chocolates...you never know what you're gonna get.,142,55000000,677387716,Comedy
122,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam take the ring closer to the heart of Mordor, the dark lord's realm.",2003-12-01,en,https://www.themoviedb.org/t/p/w300/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg,https://www.themoviedb.org/t/p/w300/pm0RiwNpSja8gR0BTWpxo5a9Bbl.jpg,8.5,The eye of the enemy is moving.,201,94000000,1118888979,Action
497,The Green Mile,The Green Mile,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",1999-12-10,en,https://www.themoviedb.org/t/p/w300/velWPhVMQeQKcxggNEU8YmIo52R.jpg,https://www.themoviedb.org/t/p/w300/5Nz25DPXfQaSpDgce42Y3kFg9G4.jpg,8.5,Miracles do happen.,189,60000000,286801374,Crime
496243,Parasite,기생충,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",2019-05-30,ko,https://www.themoviedb.org/t/p/w300/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,https://www.themoviedb.org/t/p/w300/TU9NIjwzjoKPwQHoHshkFcQUCG.jpg,8.5,Act like you own the place.,133,11363000,257591776,Comedy
